Company,ISIN,Market,Compartment,Country,Ticker_
DATRIX,IT0005468357,Euronext Growth Milan,Euronext Growth,Italy,DATA
DBA GROUP,IT0005285942,Euronext Growth Milan,Euronext Growth,Italy,DBA
DBT,FR001400LO86,Euronext Growth Paris,Euronext Growth,France,ALDBT
DBV TECHNOLOGIES,FR0010417345,Euronext Paris,Compartment B,France,DBV
DECEUNINCK,BE0003789063,Euronext Brussels,Compartment B,Belgium,DECB
DEDEM,IT0005659724 ,Euronext Growth Milan,Euronext Growth,Italy,
DEEP VALUE DRILLER AS,NO0010955917,Euronext Growth Oslo,Euronext Growth,Norway,DVD
DEEZER,FR001400AYG6,Euronext Paris,Compartment B,France,DEEZR
DEKUPLE,FR0000062978,Euronext Paris,Compartment C,France,DKUPL
DELFINGEN INDUSTRY,FR0000054132,Euronext Growth Paris,Euronext Growth,France,ALDEL
DELTA PLUS GROUP,FR0013283108,Euronext Growth Paris,Euronext Growth,France,ALDLT
DEODATO.GALLERY,IT0005528937,Euronext Growth Milan,Euronext Growth,Italy,ART
DERICHEBOURG,FR0000053381,Euronext Paris,Compartment B,France,DBG
DESERT CONTROL AS,NO0010963275,Euronext Growth Oslo,Euronext Growth,Norway,DSRT
DESTINATION ITALIA,IT0005454027,Euronext Growth Milan,Euronext Growth,Italy,DIT
DEVERNOIS,FR0000060840,Euronext Growth Paris,Euronext Growth,France,ALDEV
DEXELANCE,IT0005543480,Euronext Milan,Compartment B,Italy,DEX
DGB GROUP N.V.,NL0009169515,Euronext Amsterdam,Compartment C,Netherlands,DGB
DHH,IT0005203622,Euronext Growth Milan,Euronext Growth,Italy,DHH
DIADEMA CAPITAL,IT0005605636,Euronext Growth Milan,Euronext Growth,Italy,DIAD
DIAGNOSTIC MEDICAL SYSTEMS,FR0012202497,Euronext Growth Paris,Euronext Growth,France,ALDMS
DIGITAL BROS,IT0001469995,Euronext Milan,Compartment B,Italy,DIB
DIGITAL VALUE,IT0005347429,Euronext Milan,Compartment B,Italy,DGV
DIGITOUCH,IT0005089476,Euronext Growth Milan,Euronext Growth,Italy,DGT
DIRECTA SIM,IT0001463063,Euronext Growth Milan,Euronext Growth,Italy,D
DISTRIBUZIONE ELETTRICA ADRIATICA,IT0005600249,Euronext Growth Milan,Euronext Growth,Italy,DEA
DNO,NO0003921009,Oslo Bors,Compartment B,Norway,DNO
DNXCORP,FR0010436584,Euronext Growth Paris,Euronext Growth,France,ALDNX
DOCK.PETR.AMBES AM,FR0000065260,Euronext Paris,Compartment C,France,DPAM
DOF GROUP ASA,NO0012851874,Oslo Bors,Compartment B,Norway,DOFG
DOLFINES,FR001400SP13,Euronext Growth Paris,Euronext Growth,France,JPZ
DOLPHIN DRILLING AS,NO0012595950,Euronext Growth Oslo,Euronext Growth,Norway,DDRIL
DONEGAL INVESTMENT GROUP PLC,IE000Y2HN3O9,Euronext Growth Dublin,Euronext Growth,Ireland,DQ7A
DONTNOD Entertainment,FR0013331212,Euronext Growth Paris,Euronext Growth,France,ALDNE
DOTSTAY,IT0005523839,Euronext Growth Milan,Euronext Growth,Italy,DOT
DOVALUE,IT0005610958,Euronext Milan,Compartment B,Italy,DOV
DOXEE,IT0005394413,Euronext Growth Milan,Euronext Growth,Italy,DOX
DRONE VOLT,FR001400SVN0,Euronext Growth Paris,Euronext Growth,France,ALDRV
DYNAFOND,FR0000052920,Euronext Access Paris,Euronext Access,France,MLDYN
DYNEX ENERGY SA,LU0881232630,Euronext Access Paris,Euronext Access,Luxembourg,MLDYX
E.P.H.,IT0005623845,Euronext Milan,Compartment C,Italy,EPH
EAGLE FOOTBALL GROUP,FR0010428771,Euronext Paris,Compartment B,France,XXT
EAM SOLAR AS,NO0013601245 ,Oslo Bors,Euronext Growth,Norway,
EASE2PAY NV,NL0000345627,Euronext Amsterdam,Compartment C,Netherlands,EAS2P
EAUX DE ROYAN,FR0007200100,Euronext Access Paris,Euronext Access,France,MLEDR
EAVS,FR0010536185,Euronext Access Paris,Euronext Access,France,MLEAV
EBUSCO HOLDING N.V.,NL0015002AG2,Euronext Amsterdam,Compartment B,Netherlands,EBUS
ECOLUTIONS,DE000A0XYM45,Euronext Access Paris,Euronext Access,Germany,MLECO
ECOMEMBRANE,IT0005543332,Euronext Growth Milan,Euronext Growth,Italy,ECMB
ECOMIAM SA,FR0013534617,Euronext Growth Paris,Euronext Growth,France,ALECO
ECONOCOM GROUP,BE0974313455,Euronext Brussels,Compartment B,Belgium,ECONB
ECOSLOPS,FR0011490648,Euronext Growth Paris,Euronext Growth,France,ALESA
ECOSUNTEK,IT0005654766,Euronext Growth Milan,Euronext Growth,Italy,ECK
EDGELAB,IT0005627762,Euronext Growth Milan,Euronext Growth,Italy,ELB
EDIL SAN FELICE,IT0005561441,Euronext Growth Milan,Euronext Growth,Italy,ESF
EDILIZIACROBATICA,IT0005351504,Euronext Growth Milan,Euronext Growth,Italy,EDAC
EDITIONS DU SIGNE,FR0000052755,Euronext Access Paris,Euronext Access,France,MLEDS
EDUFORM'ACTION,FR0010882886,Euronext Access Paris,Euronext Access,France,MLEFA
EDUNIVERSAL,FR0010439265,Euronext Access Paris,Euronext Access,France,MLEDU
EEMS,IT0005577868,Euronext Milan,Compartment C,Italy,EEMS
EGIDE,FR0000072373,Euronext Growth Paris,Euronext Growth,France,EGID
E-GLOBE,IT0005557514,Euronext Growth Milan,Euronext Growth,Italy,EGB
EGOMNIA,IT0005586497,Euronext Growth Milan,Euronext Growth,Italy,EGN
EIDESVIK OFFSHORE,NO0010263023,Oslo Bors,Compartment C,Norway,EIOF
EKINOPS,FR0011466069,Euronext Paris,Compartment C,France,EKI
EKOPAK NV,BE0974380124,Euronext Brussels,Compartment B,Belgium,EKOP
EL.EN.,IT0005453250,Euronext Milan,Compartment B,Italy,ELN
ELEC.STRASBOURG,FR0000031023,Euronext Paris,Compartment B,France,ELEC
ELECTRICITE ET EAUX DE MADAGASCAR,FR0000035719,Euronext Paris,Compartment C,France,EEM
ELECTROMAGNETIC GEOSERVICES,NO0010358484,Oslo Bors,Compartment C,Norway,EMGS
ELEKTROIMPORTØREN AS,NO0010911902,Euronext Growth Oslo,Euronext Growth,Norway,ELIMP
ELES,IT0005373417,Euronext Growth Milan,Euronext Growth,Italy,ELES
ELICA,IT0003404214,Euronext Milan,Compartment C,Italy,ELC
ELIGO,IT0005524423,Euronext Growth Milan,Euronext Growth,Italy,ELG
ELIOR GROUP,FR0011950732,Euronext Paris,Compartment B,France,ELIOR
ELKEM,NO0010816093,Oslo Bors,Compartment A,Norway,ELK
ELLIPTIC LABORATORIES ASA,NO0010722283,Oslo Bors,Compartment B,Norway,ELABS
ELMERA GROUP ASA,NO0010815673,Oslo Bors,Compartment B,Norway,ELMRA
ELOPAK ASA,NO0011002586,Oslo Bors,Compartment B,Norway,ELO
ELSA SOLUTIONS,IT0005561466,Euronext Growth Milan,Euronext Growth,Italy,ELSA
EMAK,IT0001237053,Euronext Milan,Compartment B,Italy,EM
EMBENTION SISTEMAS INTELIGENTES SA,ES0105639001,Euronext Access Paris,Euronext Access,Spain,MLUAV
EMEIS,FR001400NLM4,Euronext Paris,Compartment A,France,OPA1
EMMA VILLAS,IT0005562183,Euronext Growth Milan,Euronext Growth,Italy,EAV
EMOVA GROUP,FR0013356755,Euronext Growth Paris,Euronext Growth,France,ALEMV
ENA (ex-S.I.F. ITALIA),IT0005468290,Euronext Growth Milan,Euronext Growth,Italy,ENA
ENAV,IT0005176406,Euronext Milan,Compartment A,Italy,ENAV
ENCRES DUBUIT,FR0004030708,Euronext Growth Paris,Euronext Growth,France,ALDUB
ENDÚR,NO0012555459,Oslo Bors,Compartment C,Norway,BERGE
ENENSYS,FR0013330792,Euronext Growth Paris,Euronext Growth,France,ALNN6
ENERGEIA AS,NO0012697715,Euronext Growth Oslo,Euronext Growth,Norway,ENERG
ENERGISME,FR0013399359,Euronext Growth Paris,Euronext Growth,France,ALNRG
ENERGY,IT0005500712,Euronext Growth Milan,Euronext Growth,Italy,ENY
ENERGY TIME,IT0005660219 ,Euronext Growth Milan,Euronext Growth,Italy,
ENERGYVISION ,BE0974499312,Euronext Paris,Compartment B,Belgium,5Q7
ENERTRONICA SANTERNO,IT0004887409,Euronext Growth Milan,Euronext Growth,Italy,ENT
ENERVIT,IT0004356751,Euronext Milan,Compartment C,Italy,ENV
ENOGIA,FR0014004974,Euronext Growth Paris,Euronext Growth,France,ALENO
E-NOVIA,IT0005391229,Euronext Growth Milan,Euronext Growth,Italy,E9IA
ENSURGE MICROPOWER ASA,NO0013186460,Oslo Bors,Compartment C,Norway,ENSU
ENTECH,FR0014004362,Euronext Growth Paris,Euronext Growth,France,ALESE
ENTRA,NO0010716418,Oslo Bors,Compartment A,Norway,ENTRA
ENTREPARTICULIERS,FR0010424697,Euronext Growth Paris,Euronext Growth,France,ALENT
ENTREPRENDRE,FR0000045122,Euronext Growth Paris,Euronext Growth,France,ALENR
ENVIPCO,NL0015000GX8,Euronext Amsterdam,Compartment C,Netherlands,ENVI
EO2,FR0010465534,Euronext Growth Paris,Euronext Growth,France,ALEO2
E-PANGO,FR0014004339,Euronext Growth Paris,Euronext Growth,France,ALAGO
EPRCOMUNICAZIONE,IT0005519837,Euronext Growth Milan,Euronext Growth,Italy,EPRB
EQUASENS,FR0012882389,Euronext Paris,Compartment B,France,EQS
EQUITA GROUP,IT0005312027,Euronext Milan,Compartment B,Italy,EQUI
EQVA ASA,NO0010708605,Oslo Bors,Compartment C,Norway,EQVA
ERAMET,FR0000131757,Euronext Paris,Compartment A,France,ERA
ERREDUE,IT0005521247,Euronext Growth Milan,Euronext Growth,Italy,RDUE
ESAUTOMOTION,IT0005337107,Euronext Growth Milan,Euronext Growth,Italy,ESAU
ESI,IT0005421885,Euronext Growth Milan,Euronext Growth,Italy,ESIGM
ESPE,IT0005573818,Euronext Growth Milan,Euronext Growth,Italy,ESPE
ESPRINET,IT0003850929,Euronext Milan,Compartment B,Italy,EP4A
ESSO,FR0000120669,Euronext Paris,Compartment B,France,ES
Estoril-Sol SGPS-Nominativas,PTESO0AM0000,Euronext Lisbon,Compartment C,Portugal,ESON
ESTRIMA,IT0005468191,Euronext Growth Milan,Euronext Growth,Italy,BIRO
EUKEDOS,IT0004818297,Euronext Milan,Compartment C,Italy,EUK
EURASIA GROUPE,FR0010844001,Euronext Growth Paris,Euronext Growth,France,ALEUA
EUROAPI SA,FR0014008VX5,Euronext Paris,Compartment B,France,EAPI
EUROBIO-SCIENTIFIC,FR0013240934,Euronext Growth Paris,Euronext Growth,France,ALERS
EUROFINS CEREP,FR0013256518,Euronext Growth Paris,Euronext Growth,France,ALECR
EUROGROUP LAMINATIONS,IT0005527616,Euronext Milan,Compartment B,Italy,EGLA
EUROLAND CORPORATE,FR0010157115,Euronext Growth Paris,Euronext Growth,France,ALERO
EUROPACORP,FR0010490920,Euronext Growth Paris,Euronext Growth,France,ALECP
European Medical Solutions,BE0974497290,Euronext Growth Brussels,Euronext Growth,Belgium,ALEMS
EUROPLASMA,FR001400PDG8,Euronext Growth Paris,Euronext Growth,France,ALEUP
EUROPRIS,NO0010735343,Oslo Bors,Compartment A,Norway,EPR
EUROTECH,IT0003895668,Euronext Milan,Compartment C,Italy,E5T
EUTELSAT COMMUNIC.,FR0010221234,Euronext Paris,Compartment A,France,ETL
EVISO,IT0005430936,Euronext Growth Milan,Euronext Growth,Italy,EVISO
EVS BROADC.EQUIPM.,BE0003820371,Euronext Brussels,Compartment B,Belgium,EVS
EXACOMPTA CLAIREFONTAINE,FR0000064164,Euronext Growth Paris,Euronext Growth,France,ALEXA
EXACT THERAPEUTICS,NO0010852213,Euronext Growth Oslo,Euronext Growth,Norway,EXTX
EXAIL TECHNOLOGIES,FR0000062671,Euronext Paris,Compartment B,France,EXA
EXECUS,IT0005557530,Euronext Growth Milan,Euronext Growth,Italy,EXEC
EXEL INDUSTRIES,FR0004527638,Euronext Paris,Compartment B,France,EXE
EXMAR ord.,BE0003808251,Euronext Brussels,Compartment B,Belgium,EXM
EXOSENS,FR001400Q9V2,Euronext Paris,Compartment A,France,EXENS
EXPERT.AI,IT0004496029,Euronext Growth Milan,Euronext Growth,Italy,EXAI
EXPLOSIFS PROD.CHI,FR0014003AQ4,Euronext Paris,Compartment B,France,EXPL
FACEPHI,ES0105029005,Euronext Growth Paris,Euronext Growth,Spain,FACE
FAE TECHNOLOGY,IT0005500688,Euronext Growth Milan,Euronext Growth,Italy,FAE
FAGRON,BE0003874915,Euronext Brussels,Compartment A,Belgium,4A5
FARMACOSMO,IT0005487670,Euronext Growth Milan,Euronext Growth,Italy,COSMO
FARMINVESTE,PTFNV1AM0002,Euronext Access Lisbon,Euronext Access,Portugal,MLFMV
FASHION B AIR,FR0004034593,Euronext Growth Paris,Euronext Growth,France,ALFBA
FBD HOLDINGS PLC,IE0003290289,Euronext Dublin,Compartment B,Ireland,FBD
FD,FR0012300424,Euronext Access Paris,Euronext Access,France,MLFDV
FERM.CASINO MUNICIPAL CANNES,FR0000062101,Euronext Paris,Compartment B,France,FCMC
FERMENTALG,FR0011271600,Euronext Growth Paris,Euronext Growth,France,ALGAE
FERRETTI,IT0005383291,Euronext Milan,Compartment B,Italy,YACHT
FERVI,IT0005325912,Euronext Growth Milan,Euronext Growth,Italy,FVI
FIDIA,IT0005654683,Euronext Milan,Compartment C,Italy,FIC0
FIDUCIAL OFF.SOL.,FR0000061418,Euronext Paris,Compartment C,France,SACI
FIDUCIAL REAL EST.,FR0000060535,Euronext Paris,Compartment B,France,ORIA
FIERA MILANO,IT0003365613,Euronext Milan,Compartment B,Italy,FM
FIGEAC AERO,FR0011665280,Euronext Paris,Compartment B,France,FGA
FILA,IT0004967292,Euronext Milan,Compartment B,Italy,FILA
FILL UP MEDIA S.A.,FR001400AEM6,Euronext Growth Paris,Euronext Growth,France,ALFUM
FINANCIERE MARJOS,FR0000060824,Euronext Paris,Compartment C,France,FINM
FINANZA.TECH,IT0005475162,Euronext Growth Milan,Euronext Growth,Italy,FTC
FINAXO ENVIRONNEMENT,FR0010487272,Euronext Access Paris,Euronext Access,France,MLFXO
FINCANTIERI,IT0005599938,Euronext Milan,Compartment B,Italy,FCT
FINE FOODS & PHARMACEUTICALS NTM,IT0005215329,Euronext Milan,Compartment B,Italy,FF
FIRST CAPITAL,IT0005252736,Euronext Growth Milan,Euronext Growth,Italy,FIC
FJORD DEFENCE GROUP ASA,NO0010778095,Oslo Bors,Compartment C,Norway,DFENS
FLEKKEFJORD SPAREB,NO0013209858,Euronext Growth Oslo,Euronext Growth,Norway,FFSB
FLEURY MICHON,FR0000074759,Euronext Growth Paris,Euronext Growth,France,ALFLE
FLEXDEAL,PTFXD0AM0018,Euronext Lisbon,Compartment C,Portugal,FLEXD
FLORENTAISE S.A.,FR001400GO75,Euronext Growth Paris,Euronext Growth,France,ALFLO
FLORIDIENNE,BE0003215143,Euronext Brussels,Compartment B,Belgium,FLOB
FLOWSPARKS,BE0003847648,Euronext Access Brussels,Euronext Access,Belgium,FLSP
FLUXYS BELGIUM,BE0974265945,Euronext Brussels,Compartment B,Belgium,FLUX
FNAC DARTY,FR0011476928,Euronext Paris,Compartment B,France,FNAC
FNM,IT0000060886,Euronext Milan,Compartment B,Italy,FNM
FNP TECHNOLOGIES SA,FR0013230067,Euronext Access Paris,Euronext Access,France,MLFNP
FONCIERE 7 INVEST,FR0000065930,Euronext Paris,Compartment C,France,LEBL
FONCIERE VINDI,FR0011605617,Euronext Access Paris,Euronext Access,France,MLVIN
FONCIERE VOLTA,FR0000053944,Euronext Paris,Compartment C,France,SPEL
FOPE,IT0005203424,Euronext Growth Milan,Euronext Growth,Italy,FPE
FORFARMERS,NL0011832811,Euronext Amsterdam,Compartment B,Netherlands,FFARM
FORSEE POWER,FR0014005SB3,Euronext Paris,Compartment B,France,FORSE
FORVIA,FR0000121147,Euronext Paris,Compartment A,France,FRVIA
FOUNTAIN,BE0003752665,Euronext Brussels,Compartment C,Belgium,FOU
FOUNTAINE PAJOT,FR0010485268,Euronext Growth Paris,Euronext Growth,France,ALFPC
FRANCAISE ENERGIE,FR0013030152,Euronext Paris,Compartment B,France,FDE
FRANCE TOURISME IMMOBILIER,FR0010823724,Euronext Access Paris,Euronext Access,France,MLFTI
FRANCHETTI,IT0005508574,Euronext Growth Milan,Euronext Growth,Italy,FCH
FRANCHI UMBERTO MARMI,IT0005335754,Euronext Growth Milan,Euronext Growth,Italy,FUM
FREELANCE.COM,FR0004187367,Euronext Growth Paris,Euronext Growth,France,ALFRE
FRENDY ENERGY,IT0004819857,Euronext Growth Milan,Euronext Growth,Italy,FRE
FRONTLINE PLC,CY0200352116,Oslo Bors,Compartment A,Cyprus,FRO
FSDV,FR0000031973,Euronext Paris,Compartment C,France,FSDV
FUGRO,NL00150003E1,Euronext Amsterdam,Compartment A,Netherlands,FUR
FUT.CLUBE PORTO,PTFCP0AM0008,Euronext Lisbon,Compartment C,Portugal,FCP
G.A.I.,FR0000053415,Euronext Access Paris,Euronext Access,France,MLGAI
G.M. LEATHER,IT0005498610,Euronext Growth Milan,Euronext Growth,Italy,GML
GABETTI,IT0005023038,Euronext Milan,Compartment C,Italy,GAB
GALAPAGOS,BE0003818359,Euronext Amsterdam,Compartment A,Belgium,GLPG
GALEO,FR0011100759,Euronext Access Paris,Euronext Access,France,MLGAL
GAMBERO ROSSO,IT0005122392,Euronext Growth Milan,Euronext Growth,Italy,GAMB
GAROFALO HEALTH CARE,IT0005345233,Euronext Milan,Compartment B,Italy,GHC
GAS PLUS,IT0004098510,Euronext Milan,Compartment C,Italy,GSP
GASCOGNE,FR0000124414,Euronext Growth Paris,Euronext Growth,France,ALBI
GAUMONT,FR0000034894,Euronext Paris,Compartment B,France,GAM
GEA GRENOBL.ELECT.,FR0000053035,Euronext Paris,Compartment C,France,GEA
GECI INTL,FR001400M1R1,Euronext Growth Paris,Euronext Growth,France,ALGEC
GEFRAN,IT0003203947,Euronext Milan,Compartment C,Italy,GE
GEL,IT0005312365,Euronext Growth Milan,Euronext Growth,Italy,GEL
GENERALFINANCE,IT0005144784,Euronext Milan,Compartment C,Italy,GF
GENFIT,FR0004163111,Euronext Paris,Compartment B,France,GNFT
GENOWAY,FR0004053510,Euronext Growth Paris,Euronext Growth,France,ALGEN
GENSIGHT BIOLOGICS,FR0013183985,Euronext Paris,Compartment C,France,SIGHT
GENTIAN DIAGNOSTICS ASA,NO0010748866,Oslo Bors,Compartment C,Norway,GENT
GENTILI MOSCONI,IT0005531261,Euronext Growth Milan,Euronext Growth,Italy,GM
GENTLEMEN'S EQUITY SA,PTGVE1AE0009,Euronext Access Paris,Euronext Access,Portugal,MLGEQ
GEOX,IT0003697080,Euronext Milan,Compartment B,Italy,GXSBF
GEVELOT,FR0000033888,Euronext Growth Paris,Euronext Growth,France,ALGEV
GIGANTE SALMON AS,NO0011013765,Euronext Growth Oslo,Euronext Growth,Norway,GIGA
GIGLIO GROUP,IT0005122400,Euronext Milan,Compartment C,Italy,GG
GIGLIO.COM,IT0005453003,Euronext Growth Milan,Euronext Growth,Italy,GCOM
GIMV,BE0003699130,Euronext Brussels,Compartment A,Belgium,GIMB
GIOCAMONDO STUDY,IT0005652489,Euronext Growth Milan,Euronext Growth,Italy,GMS
GISMONDI 1754,IT0005391138,Euronext Growth Milan,Euronext Growth,Italy,GIS
GL EVENTS,FR0000066672,Euronext Paris,Compartment B,France,GLO
GLASS TO POWER S.P.A.,IT0005613739,Euronext Access Paris,Euronext Access,Italy,MLGL
GLENVEAGH PROPERTIES PLC,IE00BD6JX574,Euronext Dublin,Compartment B,Ireland,GLV
GLINT,PTPAD0AM0007,Euronext Lisbon,Compartment C,Portugal,GLINT
GLOBALBIOENERGIES,FR0011052257,Euronext Growth Paris,Euronext Growth,France,ALGBE
GOLD BY GOLD,FR0011208693,Euronext Growth Paris,Euronext Growth,France,ALGLD
GOLDEN ENERGY OFFSHORE SERVICES ASA,NO0013228585,Euronext Growth Oslo,Euronext Growth,Norway,GEOS
GOODTECH,NO0004913609,Oslo Bors,Compartment C,Norway,GOD
GPE GROUP PIZZORNO,FR0010214064,Euronext Paris,Compartment B,France,GPE
GPI,IT0005221517,Euronext Milan,Compartment B,Italy,GPI
GRAINES VOLTZ,FR0000065971,Euronext Paris,Compartment C,France,GRVO
GREAT WESTERN MINING CORPORATION PLC,IE000T78CHJ8,Euronext Growth Dublin,Euronext Growth,Ireland,GWMO
GREEN MINERALS AS,NO0010907744,Euronext Growth Oslo,Euronext Growth,Norway,GEM
GREEN OLEO,IT0005549768,Euronext Growth Milan,Euronext Growth,Italy,GRN
GREENCOAT RENEWABLES PLC,IE00BF2NR112,Euronext Growth Dublin,Euronext Growth,Ireland,GRP
GREENYARD,BE0003765790,Euronext Brussels,Compartment B,Belgium,GREEN
GRIEG SEAFOOD,NO0010365521,Oslo Bors,Compartment B,Norway,GSF
GRIFAL,IT0005332595,Euronext Growth Milan,Euronext Growth,Italy,GRAL
GROLLEAU,FR0014005ZM5,Euronext Growth Paris,Euronext Growth,France,ALGRO
GRONG SPAREBANK,NO0010636491,Euronext Growth Oslo,Euronext Growth,Norway,GRONG
GROUPE AIRWELL,FR0014003V77,Euronext Growth Paris,Euronext Growth,France,ALAIR
GROUPE CARNIVOR,FR0000076960,Euronext Access Paris,Euronext Access,France,MLGRC
GROUPE CRIT,FR0000036675,Euronext Paris,Compartment B,France,CEN
GROUPE ETPO SA,FR0000066219,Euronext Paris,Compartment C,France,INFE
GROUPE GUILLIN,FR0012819381,Euronext Growth Paris,Euronext Growth,France,ALGIL
GROUPE JAJ,FR0004010338,Euronext Paris,Compartment C,France,GJAJ
GROUPE LDLC,FR0000075442,Euronext Growth Paris,Euronext Growth,France,ALLDL
GROUPE OKWIND,FR0013439627,Euronext Growth Paris,Euronext Growth,France,ALOKW
GROUPE PARTOUCHE,FR0012612646,Euronext Paris,Compartment B,France,PARP
GROUPE PLUS-VALUES,FR0010529719,Euronext Access Paris,Euronext Access,France,MLPVG
GROUPE SFPI,FR0004155000,Euronext Paris,Compartment B,France,EKN
GROUPE TERA,FR0013429404,Euronext Growth Paris,Euronext Growth,France,ALGTR
GROUPIMO,FR0014000RP6,Euronext Growth Paris,Euronext Growth,France,ALIMO
GROWENS,IT0005040354,Euronext Growth Milan,Euronext Growth,Italy,GROW
GT TALENT GROUP,IT0005607699,Euronext Growth Milan,Euronext Growth,Italy,GT
GUERBET,FR0000032526,Euronext Paris,Compartment B,France,GBT
GUILLEMOT,FR0000066722,Euronext Paris,Compartment C,France,GUI
GVS,IT0005411209,Euronext Milan,Compartment B,Italy,GVS
GYLDENDAL,NO0004288200,Oslo Bors,Compartment C,Norway,GYL
HAFFNER ENERGY,FR0014007ND6,Euronext Growth Paris,Euronext Growth,France,ALHAF
HAIKI+,IT0005628778,Euronext Growth Milan,Euronext Growth,Italy,HIK
HAUGESUND SPB,NO0010764053,Oslo Bors,Compartment C,Norway,HGSB
HAULOTTE GROUP,FR0000066755,Euronext Paris,Compartment C,France,PIG
HAV GROUP ASA,NO0010931918,Euronext Growth Oslo,Euronext Growth,Norway,HAV
HAVAS,NL0015002AH0,Euronext Amsterdam,Compartment A,France,HAVAS
HAVILA KYSTRUTEN AS,NO0011045429,Euronext Growth Oslo,Euronext Growth,Norway,HKY
HAVILA SHIPPING,NO0010257728,Oslo Bors,Compartment C,Norway,HAVI
HAWICK DATA NV,NL0010556726,Euronext Amsterdam,Compartment C,Netherlands,HWK
HEALTH ITALIA,IT0005585861,Euronext Growth Milan,Euronext Growth,Italy,HI
HERIGE,FR0000066540,Euronext Growth Paris,Euronext Growth,France,ALHRG
HERMANA HOLDING ASA,NO0013401380,Oslo Bors,Compartment C,Norway,HERMA
HEXAGON COMPOSITES,NO0003067902,Oslo Bors,Compartment B,Norway,HEX
HEXAGON PURUS ASA,NO0010904923,Oslo Bors,Compartment B,Norway,HPUR
HEXAOM,FR0004159473,Euronext Growth Paris,Euronext Growth,France,ALHEX
HF COMPANY,FR0000038531,Euronext Growth Paris,Euronext Growth,France,ALHF
H-FARM,IT0004674666,Euronext Growth Milan,Euronext Growth,Italy,FARM
HIGH CO,FR0000054231,Euronext Paris,Compartment C,France,HCO
HIGH QUALITY FOOD,IT0005450694,Euronext Growth Milan,Euronext Growth,Italy,HQF
HIPAY GROUP,FR0012821916,Euronext Growth Paris,Euronext Growth,France,ALHYP
HITECHPROS,FR0010396309,Euronext Growth Paris,Euronext Growth,France,ALHIT
HOCHE BAINS L.BAIN,FR0000051302,Euronext Access Paris,Euronext Access,France,MLHBB
HOEGH AUTOLINERS ASA,NO0011082075,Oslo Bors,Compartment A,Norway,HAUTO
HOFFMANN,FR0013451044,Euronext Growth Paris,Euronext Growth,France,ALHGR
HOFSETH BIOCARE,NO0010598683,Oslo Bors,Compartment C,Norway,HBC
HØLAND OG SETSKOG,NO0010012636,Oslo Bors,Compartment C,Norway,HSPG
Holland Colours,NL0000440311,Euronext Amsterdam,Compartment C,Netherlands,HOLCO
HOME CONCEPT,FR0012336691,Euronext Access Paris,Euronext Access,France,MLHCF
HOPENING,FR0010312181,Euronext Access Paris,Euronext Access,France,MLHPE
HOPIUM,FR0014000U63,Euronext Growth Paris,Euronext Growth,France,ALHPI
HOPSCOTCH GROUPE,FR0000065278,Euronext Growth Paris,Euronext Growth,France,ALHOP
HORISONT ENERGI AS,NO0010917339,Euronext Growth Oslo,Euronext Growth,Norway,HRGI
HOT.MAJESTIC CANNE,FR0006226791,Euronext Access Paris,Euronext Access,France,MLHMC
HOTELES BESTPRICE,ES0105664009,Euronext Access Paris,Euronext Access,Spain,MLHBP
HOTELIM,FR0000053738,Euronext Access Paris,Euronext Access,France,MLHOT
HOTELS DE PARIS,FR0004165801,Euronext Paris,Compartment C,France,HDP
HOTL.IMMOB.NICE,FR0006563904,Euronext Access Paris,Euronext Access,France,MLHIN
HUDDLESTOCK FINTECH,NO0010859648,Euronext Growth Oslo,Euronext Growth,Norway,HUDL
HUDDLY AS,NO0013470534,Euronext Growth Oslo,Euronext Growth,Norway,HDLY
HUNTER GROUP,NO0012953720,Oslo Bors,Compartment C,Norway,HUNT
HUNYVERS,FR0014007LQ2,Euronext Growth Paris,Euronext Growth,France,ALHUN
HYDRATEC Gewone aandelen,NL0009391242,Euronext Amsterdam,Compartment C,Netherlands,HYDRA
HYDRAULIQUE HOLDING,FR0000064735,Euronext Access Paris,Euronext Access,France,MLHYD
HYDRO-EXPLOIT.,FR0005843125,Euronext Access Paris,Euronext Access,France,MLHYE
HYDROGENE DE FRANCE,FR0014003VY4,Euronext Paris,Compartment B,France,HDF
HYDROGENPRO ASA,NO0010892359,Oslo Bors,Compartment C,Norway,HYPRO
HYDROGEN-REFUELING-SOLUTIONS,FR0014001PM5,Euronext Growth Paris,Euronext Growth,France,ALHRS
HYLORIS,BE0974363955,Euronext Brussels,Compartment B,Belgium,HYL
HYNION AS,NO0010920945,Euronext Growth Oslo,Euronext Growth,Norway,HYN
I GRANDI VIAGGI,IT0005108219,Euronext Milan,Compartment C,Italy,IGV
I.CO.P.,IT0001214433,Euronext Growth Milan,Euronext Growth,Italy,ICOP
I.M.D. INTERNATIONAL MEDICAL DEVICES,IT0005549255,Euronext Growth Milan,Euronext Growth,Italy,IMD
I2S,FR0005854700,Euronext Growth Paris,Euronext Growth,France,ALI2S
Ibersol-SGPS,PTIBS0AM0008,Euronext Lisbon,Compartment B,Portugal,IBS
ICAPE HOLDING,FR001400A3Q3,Euronext Growth Paris,Euronext Growth,France,ALICA
ICELANDIC SALMON,NO0010724701,Euronext Growth Oslo,Euronext Growth,Norway,ISLAX
ID LOGISTICS GROUP,FR0010929125,Euronext Paris,Compartment A,France,IDL
